Trouble polygons for Grounding: 2
Trouble polygons for Antarctic: 90
===> Test against Grounding polygon:
Ant_island_000.txt : Outside Grounding polygon
Ant_island_001.txt : Outside Grounding polygon
Ant_island_002.txt : Outside Grounding polygon
Ant_island_003.txt : Outside Grounding polygon
Ant_island_004.txt : Outside Grounding polygon
Ant_island_005.txt : Outside Grounding polygon
Ant_island_006.txt : Outside Grounding polygon
Ant_island_007.txt : Outside Grounding polygon
Ant_island_008.txt : Outside Grounding polygon
Ant_island_009.txt : Outside Grounding polygon
Ant_island_010.txt : Outside Grounding polygon
Ant_island_011.txt : Outside Grounding polygon
Ant_island_012.txt : Outside Grounding polygon
Ant_island_013.txt : Outside Grounding polygon
Ant_island_014.txt : Outside Grounding polygon
Ant_island_015.txt : Outside Grounding polygon
Ant_island_016.txt : Outside Grounding polygon
Ant_island_017.txt : Outside Grounding polygon
Ant_island_018.txt : Outside Grounding polygon
Ant_island_019.txt : Outside Grounding polygon
Ant_island_020.txt : Outside Grounding polygon
Ant_island_021.txt : Outside Grounding polygon
Ant_island_022.txt : Outside Grounding polygon
Ant_island_023.txt : Outside Grounding polygon
Ant_island_024.txt : Outside Grounding polygon
Ant_island_025.txt : Outside Grounding polygon
Ant_island_026.txt : Outside Grounding polygon
Ant_island_027.txt : Outside Grounding polygon
Ant_island_028.txt : Outside Grounding polygon
Ant_island_029.txt : Outside Grounding polygon
Ant_island_030.txt : Outside Grounding polygon
Ant_island_031.txt : Outside Grounding polygon
Ant_island_032.txt : Outside Grounding polygon
Ant_island_033.txt : Outside Grounding polygon
Ant_island_034.txt : Outside Grounding polygon
Ant_island_035.txt : Outside Grounding polygon
Ant_island_036.txt : Outside Grounding polygon
Ant_island_037.txt : Outside Grounding polygon
Ant_island_038.txt : Outside Grounding polygon
Ant_island_039.txt : Outside Grounding polygon
Ant_island_040.txt : Outside Grounding polygon
Ant_island_041.txt : Outside Grounding polygon
Ant_island_042.txt : Outside Grounding polygon
Ant_island_043.txt : Outside Grounding polygon
Ant_island_044.txt : Outside Grounding polygon
Ant_island_045.txt : Outside Grounding polygon
Ant_island_046.txt : Outside Grounding polygon
Ant_island_047.txt : Outside Grounding polygon
Ant_island_048.txt : Outside Grounding polygon
Ant_island_049.txt : Outside Grounding polygon
Ant_island_050.txt : Outside Grounding polygon
Ant_island_051.txt : Outside Grounding polygon
Ant_island_052.txt : Outside Grounding polygon
Ant_island_053.txt : Outside Grounding polygon
Ant_island_054.txt : Outside Grounding polygon
Ant_island_055.txt : Outside Grounding polygon
Ant_island_056.txt : Outside Grounding polygon
Ant_island_057.txt : Outside Grounding polygon
Ant_island_058.txt : Outside Grounding polygon
Ant_island_059.txt : Outside Grounding polygon
Ant_island_060.txt : Outside Grounding polygon
Ant_island_061.txt : Outside Grounding polygon
Ant_island_062.txt : Outside Grounding polygon
Ant_island_063.txt : Inside Grounding polygon
Ant_island_064.txt : Outside Grounding polygon
Ant_island_065.txt : Outside Grounding polygon
Ant_island_066.txt : Outside Grounding polygon
Ant_island_067.txt : Outside Grounding polygon
Ant_island_068.txt : Outside Grounding polygon
Ant_island_069.txt : Outside Grounding polygon
Ant_island_070.txt : Outside Grounding polygon
Ant_island_071.txt : Outside Grounding polygon
Ant_island_072.txt : Outside Grounding polygon
Ant_island_073.txt : Outside Grounding polygon
Ant_island_074.txt : Outside Grounding polygon
Ant_island_075.txt : Outside Grounding polygon
Ant_island_076.txt : Outside Grounding polygon
Ant_island_077.txt : Outside Grounding polygon
Ant_island_078.txt : Outside Grounding polygon
Ant_island_079.txt : Outside Grounding polygon
Ant_island_080.txt : Outside Grounding polygon
Ant_island_081.txt : Outside Grounding polygon
Ant_island_082.txt : Outside Grounding polygon
Ant_island_083.txt : Outside Grounding polygon
Ant_island_084.txt : Outside Grounding polygon
Ant_island_085.txt : Outside Grounding polygon
Ant_island_086.txt : Outside Grounding polygon
Ant_island_087.txt : Outside Grounding polygon
Ant_island_088.txt : Outside Grounding polygon
Ant_island_089.txt : Outside Grounding polygon
Ant_island_090.txt : Outside Grounding polygon
Ant_island_091.txt : Outside Grounding polygon
Ant_island_092.txt : Outside Grounding polygon
Ant_island_093.txt : Outside Grounding polygon
Ant_island_094.txt : Outside Grounding polygon
Ant_island_095.txt : Outside Grounding polygon
Ant_island_096.txt : Outside Grounding polygon
Ant_island_097.txt : Outside Grounding polygon
Ant_island_098.txt : Outside Grounding polygon
Ant_island_099.txt : Outside Grounding polygon
Ant_island_100.txt : Outside Grounding polygon
Ant_island_101.txt : Outside Grounding polygon
Ant_island_102.txt : Outside Grounding polygon
Ant_island_103.txt : Outside Grounding polygon
Ant_island_104.txt : Outside Grounding polygon
Ant_island_105.txt : Outside Grounding polygon
Ant_island_106.txt : Outside Grounding polygon
Ant_island_107.txt : Outside Grounding polygon
Ant_island_108.txt : Outside Grounding polygon
Ant_island_109.txt : Outside Grounding polygon
Ant_island_110.txt : Outside Grounding polygon
Ant_island_111.txt : Outside Grounding polygon
Ant_island_112.txt : Outside Grounding polygon
Ant_island_113.txt : Outside Grounding polygon
Ant_island_114.txt : Outside Grounding polygon
Ant_island_115.txt : Outside Grounding polygon
Ant_island_116.txt : Outside Grounding polygon
Ant_island_117.txt : Outside Grounding polygon
Ant_island_118.txt : Outside Grounding polygon
Ant_island_119.txt : Outside Grounding polygon
Ant_island_120.txt : Outside Grounding polygon
Ant_island_121.txt : Outside Grounding polygon
Ant_island_122.txt : Outside Grounding polygon
Ant_island_123.txt : Outside Grounding polygon
Ant_island_124.txt : Outside Grounding polygon
Ant_island_125.txt : Outside Grounding polygon
Ant_island_126.txt : Outside Grounding polygon
Ant_island_127.txt : Outside Grounding polygon
Ant_island_128.txt : Outside Grounding polygon
Ant_island_129.txt : Outside Grounding polygon
Ant_island_130.txt : Outside Grounding polygon
Ant_island_131.txt : Outside Grounding polygon
Ant_island_132.txt : Outside Grounding polygon
Ant_island_133.txt : Outside Grounding polygon
Ant_island_134.txt : Outside Grounding polygon
Ant_island_135.txt : Outside Grounding polygon
Ant_island_136.txt : Outside Grounding polygon
Ant_island_137.txt : Outside Grounding polygon
Ant_island_138.txt : Outside Grounding polygon
Ant_island_139.txt : Outside Grounding polygon
Ant_island_140.txt : Outside Grounding polygon
Ant_island_141.txt : Outside Grounding polygon
Ant_island_142.txt : Outside Grounding polygon
Ant_island_143.txt : Outside Grounding polygon
Ant_island_144.txt : Outside Grounding polygon
Ant_island_145.txt : Outside Grounding polygon
Ant_island_146.txt : Outside Grounding polygon
Ant_island_147.txt : Outside Grounding polygon
Ant_island_148.txt : Outside Grounding polygon
Ant_island_149.txt : Outside Grounding polygon
Ant_island_150.txt : Outside Grounding polygon
Ant_island_151.txt : Outside Grounding polygon
Ant_island_152.txt : Outside Grounding polygon
Ant_island_153.txt : Outside Grounding polygon
Ant_island_154.txt : Outside Grounding polygon
Ant_island_155.txt : Outside Grounding polygon
Ant_island_156.txt : Outside Grounding polygon
Ant_island_157.txt : Outside Grounding polygon
Ant_island_158.txt : Outside Grounding polygon
Ant_island_159.txt : Outside Grounding polygon
Ant_island_160.txt : Outside Grounding polygon
Ant_island_161.txt : Outside Grounding polygon
Ant_island_162.txt : Outside Grounding polygon
Ant_island_163.txt : Outside Grounding polygon
Ant_island_164.txt : Outside Grounding polygon
Ant_island_165.txt : Outside Grounding polygon
Ant_island_166.txt : Outside Grounding polygon
Ant_island_167.txt : Outside Grounding polygon
Ant_island_168.txt : Outside Grounding polygon
Ant_island_169.txt : Outside Grounding polygon
Ant_island_170.txt : Outside Grounding polygon
Ant_island_171.txt : Outside Grounding polygon
Ant_island_172.txt : Outside Grounding polygon
Ant_island_173.txt : Outside Grounding polygon
Ant_island_174.txt : Outside Grounding polygon
Ant_island_175.txt : Outside Grounding polygon
Ant_island_176.txt : Outside Grounding polygon
Ant_island_177.txt : Outside Grounding polygon
Ant_island_178.txt : Outside Grounding polygon
Ant_island_179.txt : Outside Grounding polygon
Ant_island_180.txt : Outside Grounding polygon
Ant_island_181.txt : Outside Grounding polygon
Ant_island_182.txt : Outside Grounding polygon
Ant_island_183.txt : Outside Grounding polygon
Ant_island_184.txt : Outside Grounding polygon
Ant_island_185.txt : Outside Grounding polygon
Ant_island_186.txt : Outside Grounding polygon
Ant_island_187.txt : Outside Grounding polygon
Ant_island_188.txt : Outside Grounding polygon
Ant_island_189.txt : Outside Grounding polygon
Ant_island_190.txt : Outside Grounding polygon
Ant_island_191.txt : Outside Grounding polygon
Ant_island_192.txt : Outside Grounding polygon
Ant_island_193.txt : Outside Grounding polygon
Ant_island_194.txt : Outside Grounding polygon
Ant_island_195.txt : Outside Grounding polygon
Ant_island_196.txt : Outside Grounding polygon
Ant_island_197.txt : Outside Grounding polygon
Ant_island_198.txt : Outside Grounding polygon
Ant_island_199.txt : Outside Grounding polygon
Ant_island_200.txt : Outside Grounding polygon
Ant_island_201.txt : Outside Grounding polygon
Ant_island_202.txt : Outside Grounding polygon
Ant_island_203.txt : Outside Grounding polygon
Ant_island_204.txt : Outside Grounding polygon
Ant_island_205.txt : Outside Grounding polygon
Ant_island_206.txt : Outside Grounding polygon
Ant_island_207.txt : Outside Grounding polygon
Ant_island_208.txt : Outside Grounding polygon
Ant_island_209.txt : Outside Grounding polygon
Ant_island_210.txt : Outside Grounding polygon
Ant_island_211.txt : Outside Grounding polygon
Ant_island_212.txt : Outside Grounding polygon
Ant_island_213.txt : Outside Grounding polygon
Ant_island_214.txt : Outside Grounding polygon
Ant_island_215.txt : Outside Grounding polygon
Ant_island_216.txt : Outside Grounding polygon
Ant_island_217.txt : Outside Grounding polygon
Ant_island_218.txt : Outside Grounding polygon
Ant_island_219.txt : Outside Grounding polygon
Ant_island_220.txt : Outside Grounding polygon
Ant_island_221.txt : Outside Grounding polygon
Ant_island_222.txt : Outside Grounding polygon
Ant_island_223.txt : Outside Grounding polygon
Ant_island_224.txt : Outside Grounding polygon
Ant_island_225.txt : Outside Grounding polygon
Ant_island_226.txt : Outside Grounding polygon
Ant_island_227.txt : Outside Grounding polygon
Ant_island_228.txt : Outside Grounding polygon
Ant_island_229.txt : Outside Grounding polygon
Ant_island_230.txt : Outside Grounding polygon
Ant_island_231.txt : Outside Grounding polygon
Ant_island_232.txt : Outside Grounding polygon
Ant_island_233.txt : Outside Grounding polygon
Ant_island_234.txt : Outside Grounding polygon
Ant_island_235.txt : Outside Grounding polygon
Ant_island_236.txt : Outside Grounding polygon
Ant_island_237.txt : Outside Grounding polygon
Ant_island_238.txt : Outside Grounding polygon
Ant_island_239.txt : Outside Grounding polygon
Ant_island_240.txt : Outside Grounding polygon
Ant_island_241.txt : Outside Grounding polygon
Ant_island_242.txt : Outside Grounding polygon
Ant_island_243.txt : Outside Grounding polygon
Ant_island_244.txt : Outside Grounding polygon
Ant_island_245.txt : Outside Grounding polygon
Ant_island_246.txt : Outside Grounding polygon
Ant_island_247.txt : Outside Grounding polygon
Ant_island_248.txt : Outside Grounding polygon
Ant_island_249.txt : Outside Grounding polygon
Ant_island_250.txt : Outside Grounding polygon
Ant_island_251.txt : Outside Grounding polygon
Ant_island_252.txt : Outside Grounding polygon
Ant_island_253.txt : Outside Grounding polygon
Ant_island_254.txt : Outside Grounding polygon
Ant_island_255.txt : Outside Grounding polygon
Ant_island_256.txt : Outside Grounding polygon
Ant_island_257.txt : Outside Grounding polygon
Ant_island_258.txt : Outside Grounding polygon
Ant_island_259.txt : Outside Grounding polygon
Ant_island_260.txt : Outside Grounding polygon
Ant_island_261.txt : Outside Grounding polygon
Ant_island_262.txt : Outside Grounding polygon
Ant_island_263.txt : Outside Grounding polygon
Ant_island_264.txt : Outside Grounding polygon
Ant_island_265.txt : Outside Grounding polygon
Ant_island_266.txt : Outside Grounding polygon
Ant_island_267.txt : Outside Grounding polygon
Ant_island_268.txt : Outside Grounding polygon
Ant_island_269.txt : Outside Grounding polygon
Ant_island_270.txt : Outside Grounding polygon
Ant_island_271.txt : Outside Grounding polygon
Ant_island_272.txt : Outside Grounding polygon
Ant_island_273.txt : Outside Grounding polygon
Ant_island_274.txt : Outside Grounding polygon
Ant_island_275.txt : Outside Grounding polygon
Ant_island_276.txt : Outside Grounding polygon
Ant_island_277.txt : Outside Grounding polygon
Ant_island_278.txt : Outside Grounding polygon
Ant_island_279.txt : Outside Grounding polygon
Ant_island_280.txt : Outside Grounding polygon
Ant_island_281.txt : Outside Grounding polygon
Ant_island_282.txt : Outside Grounding polygon
Ant_island_283.txt : Outside Grounding polygon
Ant_island_284.txt : Outside Grounding polygon
Ant_island_285.txt : Outside Grounding polygon
Ant_island_286.txt : Outside Grounding polygon
Ant_island_287.txt : Outside Grounding polygon
Ant_island_288.txt : Outside Grounding polygon
Ant_island_289.txt : Outside Grounding polygon
Ant_island_290.txt : Outside Grounding polygon
Ant_island_291.txt : Outside Grounding polygon
Ant_island_292.txt : Outside Grounding polygon
Ant_island_293.txt : Outside Grounding polygon
Ant_island_294.txt : Outside Grounding polygon
Ant_island_295.txt : Outside Grounding polygon
Ant_island_296.txt : Outside Grounding polygon
Ant_island_297.txt : Outside Grounding polygon
Ant_island_298.txt : Outside Grounding polygon
Ant_island_299.txt : Outside Grounding polygon
Ant_island_300.txt : Outside Grounding polygon
Ant_island_301.txt : Outside Grounding polygon
Ant_island_302.txt : Outside Grounding polygon
Ant_island_303.txt : Outside Grounding polygon
Ant_island_304.txt : Outside Grounding polygon
Ant_island_305.txt : Outside Grounding polygon
Ant_island_306.txt : Outside Grounding polygon
Ant_island_307.txt : Outside Grounding polygon
Ant_island_308.txt : Outside Grounding polygon
Ant_island_309.txt : Outside Grounding polygon
Ant_island_310.txt : Outside Grounding polygon
Ant_island_311.txt : Outside Grounding polygon
Ant_island_312.txt : Outside Grounding polygon
Ant_island_313.txt : Outside Grounding polygon
Ant_island_314.txt : Outside Grounding polygon
Ant_island_315.txt : Outside Grounding polygon
Ant_island_316.txt : Outside Grounding polygon
Ant_island_317.txt : Outside Grounding polygon
Ant_island_318.txt : Outside Grounding polygon
Ant_island_319.txt : Outside Grounding polygon
Ant_island_320.txt : Outside Grounding polygon
Ant_island_321.txt : Outside Grounding polygon
Ant_island_322.txt : Outside Grounding polygon
Ant_island_323.txt : Outside Grounding polygon
Ant_island_324.txt : Outside Grounding polygon
Ant_island_325.txt : Outside Grounding polygon
Ant_island_326.txt : Outside Grounding polygon
Ant_island_327.txt : Outside Grounding polygon
Ant_island_328.txt : Outside Grounding polygon
Ant_island_329.txt : Outside Grounding polygon
Ant_island_330.txt : Outside Grounding polygon
Ant_island_331.txt : Outside Grounding polygon
Ant_island_332.txt : Outside Grounding polygon
Ant_island_333.txt : Outside Grounding polygon
Ant_island_334.txt : Outside Grounding polygon
Ant_island_335.txt : Outside Grounding polygon
Ant_island_336.txt : Outside Grounding polygon
Ant_island_337.txt : Outside Grounding polygon
Ant_island_338.txt : Outside Grounding polygon
Ant_island_339.txt : Outside Grounding polygon
Ant_island_340.txt : Outside Grounding polygon
Ant_island_341.txt : Outside Grounding polygon
Ant_island_342.txt : Outside Grounding polygon
Ant_island_343.txt : Outside Grounding polygon
Ant_island_344.txt : Outside Grounding polygon
Ant_island_345.txt : Outside Grounding polygon
Ant_island_346.txt : Outside Grounding polygon
Ant_island_347.txt : Outside Grounding polygon
Ant_island_348.txt : Outside Grounding polygon
Ant_island_349.txt : Outside Grounding polygon
Ant_island_350.txt : Outside Grounding polygon
Ant_island_351.txt : Outside Grounding polygon
Ant_island_352.txt : Outside Grounding polygon
Ant_island_353.txt : Outside Grounding polygon
Ant_island_354.txt : Outside Grounding polygon
Ant_island_355.txt : Outside Grounding polygon
Ant_island_356.txt : Outside Grounding polygon
Ant_island_357.txt : Outside Grounding polygon
Ant_island_358.txt : Outside Grounding polygon
Ant_island_359.txt : Outside Grounding polygon
Ant_island_360.txt : Outside Grounding polygon
Ant_island_361.txt : Outside Grounding polygon
Ant_island_362.txt : Outside Grounding polygon
Ant_island_363.txt : Outside Grounding polygon
Ant_island_364.txt : Outside Grounding polygon
Ant_island_365.txt : Outside Grounding polygon
Ant_island_366.txt : Outside Grounding polygon
Ant_island_367.txt : Outside Grounding polygon
Ant_island_368.txt : Outside Grounding polygon
Ant_island_369.txt : Outside Grounding polygon
Ant_island_370.txt : Outside Grounding polygon
Ant_island_371.txt : Outside Grounding polygon
Ant_island_372.txt : Outside Grounding polygon
Ant_island_373.txt : Outside Grounding polygon
Ant_island_374.txt : Outside Grounding polygon
Ant_island_375.txt : Outside Grounding polygon
Ant_island_376.txt : Outside Grounding polygon
Ant_island_377.txt : Outside Grounding polygon
Ant_island_378.txt : Outside Grounding polygon
Ant_island_379.txt : Outside Grounding polygon
Ant_island_380.txt : Outside Grounding polygon
Ant_island_381.txt : Outside Grounding polygon
Ant_island_382.txt : Outside Grounding polygon
Ant_island_383.txt : Outside Grounding polygon
Ant_island_384.txt : Outside Grounding polygon
Ant_island_385.txt : Outside Grounding polygon
Ant_island_386.txt : Outside Grounding polygon
Ant_island_387.txt : Outside Grounding polygon
Ant_island_388.txt : Outside Grounding polygon
Ant_island_389.txt : Outside Grounding polygon
Ant_island_390.txt : Outside Grounding polygon
Ant_island_391.txt : Outside Grounding polygon
Ant_island_392.txt : Outside Grounding polygon
Ant_island_393.txt : Outside Grounding polygon
Ant_island_394.txt : Outside Grounding polygon
Ant_island_395.txt : Outside Grounding polygon
Ant_island_396.txt : Outside Grounding polygon
Ant_island_397.txt : Outside Grounding polygon
Ant_island_398.txt : Outside Grounding polygon
Ant_island_399.txt : Outside Grounding polygon
Ant_island_400.txt : Outside Grounding polygon
Ant_island_401.txt : Outside Grounding polygon
Ant_island_402.txt : Outside Grounding polygon
Ant_island_403.txt : Outside Grounding polygon
Ant_island_404.txt : Outside Grounding polygon
Ant_island_405.txt : Outside Grounding polygon
Ant_island_406.txt : Outside Grounding polygon
Ant_island_407.txt : Outside Grounding polygon
Ant_island_408.txt : Outside Grounding polygon
Ant_island_409.txt : Outside Grounding polygon
Ant_island_410.txt : Outside Grounding polygon
Ant_island_411.txt : Outside Grounding polygon
Ant_island_412.txt : Outside Grounding polygon
Ant_island_413.txt : Outside Grounding polygon
Ant_island_414.txt : Outside Grounding polygon
Ant_island_415.txt : Outside Grounding polygon
Ant_island_416.txt : Outside Grounding polygon
Ant_island_417.txt : Outside Grounding polygon
Ant_island_418.txt : Outside Grounding polygon
Ant_island_419.txt : Outside Grounding polygon
Ant_island_420.txt : Outside Grounding polygon
Ant_island_421.txt : Outside Grounding polygon
