> Sula
6.35147145 62.44000158
6.34813769 62.4371188
6.34153289 62.43402227
6.33362875 62.43391607
6.32699071 62.435217
6.31908895 62.4351011
6.31460518 62.43616611
6.31090974 62.43593415
6.31111308 62.43670593
6.31553886 62.43870954
6.32080799 62.43922979
6.32560194 62.43857254
6.32715635 62.44039575
6.32197861 62.44236629
6.3202604 62.44397534
6.32496251 62.44503812
6.3297953 62.44705765
6.33294303 62.44629698
6.33643591 62.44575662
6.3405156 62.44467463
6.34324142 62.44388736
6.34554517 62.44173642
6.34762898 62.44033971
6.35061284 62.44013767
6.35147145 62.44000158
> Ellingsoya
6.23766068 62.45216345
6.24234846 62.45188173
6.24213442 62.44976261
6.2413508 62.44818581
6.24495783 62.44726633
6.24728411 62.44645555
6.24904585 62.44332276
6.24872159 62.44157625
6.24574497 62.4389029
6.24989707 62.43897571
6.25420922 62.44135381
6.25563661 62.44220308
6.25874395 62.4429777
6.26134231 62.44409061
6.26415742 62.44446711
6.26843873 62.44549631
6.27958223 62.44600902
6.28677626 62.44282949
6.28922864 62.44011939
6.29181065 62.43989331
6.29773662 62.44103409
6.30062682 62.43968869
6.29940399 62.43673838
6.299111 62.43634045
6.29742925 62.43356005
6.29583995 62.4332613
6.29466926 62.43299791
6.29230881 62.43246988
6.28786462 62.4320004
6.28620382 62.43054944
6.28324174 62.42921528
6.28538208 62.42763323
6.29063137 62.42681616
6.29860556 62.42521248
6.30500453 62.42619305
6.30635908 62.42722693
6.3070713 62.43052459
6.31166189 62.43196044
6.32067924 62.43252628
6.32825146 62.43089568
6.33350027 62.43007697
6.34173303 62.43192955
6.34762054 62.43172853
6.35290824 62.43224876
6.35447896 62.43254566
6.36115746 62.43257418
6.36155956 62.43259928
6.36121162 62.43238782
6.3624912 62.43227795
6.36819563 62.43129666
6.37221814 62.43040004
6.37457535 62.42805333
6.37939367 62.42434209
6.37698993 62.42113853
6.36065658 62.41705673
6.34595617 62.41594819
6.33831756 62.41641885
6.33826449 62.41947853
6.3337136 62.42359382
6.32910722 62.42655802
6.32175631 62.42743446
6.32023811 62.42542367
6.327882 62.42360793
6.3319206 62.42118648
6.33420413 62.41903452
6.33389416 62.41728933
6.33162363 62.41505084
6.32891895 62.41430305
6.32911679 62.40934591
6.32089099 62.40749271
6.31228288 62.40695225
6.30535916 62.40498105
6.29324297 62.40651389
6.27856946 62.4038724
6.26331357 62.40328888
6.25403003 62.40365988
6.24778403 62.40078863
6.23544124 62.39885005
6.22302085 62.39711321
6.20342625 62.39566894
6.18130314 62.39579572
6.1522175 62.39680204
6.13073022 62.39753087
6.12208325 62.40137746
6.11040877 62.40693612
6.08963721 62.41363449
6.08212129 62.41640398
6.07431929 62.42297822
6.06651973 62.42667787
6.06471218 62.43268975
6.06335997 62.43718533
6.07192718 62.44061296
6.08713267 62.44006572
6.11058764 62.43984824
6.13466684 62.43890758
6.15222903 62.43888384
6.1641248 62.44099061
6.16879217 62.44071013
6.17523558 62.44016319
6.18166934 62.44096195
6.18979507 62.44033174
6.1989381 62.44186244
6.2009612 62.44352744
6.19755765 62.44369058
6.19500944 62.4452456
6.20277712 62.4472759
6.21170849 62.44669555
6.21668493 62.44682165
6.21606243 62.44754127
6.21146308 62.44897542
6.2152419 62.45170052
6.22153329 62.45305757
6.22623564 62.45411478
6.22902021 62.45314353
6.23260696 62.45375028
6.23440008 62.4532945
6.23766068 62.45216345
